Video file,Gloss
1-Capstone.mp4,Capstone
1-Finished.mp4,Finished
1-Project.mp4,Project
1-We.mp4,We
10-Capstone.mp4,Capstone
10-Finished.mp4,Finished
10-Project.mp4,Project
10-We.mp4,We
11-Capstone.mp4,Capstone
11-Finished.mp4,Finished
11-Project.mp4,Project
11-We.mp4,We
12-Capstone.mp4,Capstone
12-Finished.mp4,Finished
12-Project.mp4,Project
12-We.mp4,We
13-Capstone.mp4,Capstone
13-Finished.mp4,Finished
13-Project.mp4,Project
13-We.mp4,We
14-Capstone.mp4,Capstone
14-Finished.mp4,Finished
14-Project.mp4,Project
14-We.mp4,We
15-Capstone.mp4,Capstone
15-Finished.mp4,Finished
15-Project.mp4,Project
15-We.mp4,We
16-Capstone.mp4,Capstone
16-Finished.mp4,Finished
16-Project.mp4,Project
16-We.mp4,We
17-Capstone.mp4,Capstone
17-Finished.mp4,Finished
17-Project.mp4,Project
17-We.mp4,We
18-Capstone.mp4,Capstone
18-Finished.mp4,Finished
18-Project.mp4,Project
18-We.mp4,We
19-Capstone.mp4,Capstone
19-Finished.mp4,Finished
19-Project.mp4,Project
19-We.mp4,We
2-Capstone.mp4,Capstone
2-Finished.mp4,Finished
2-Project.mp4,Project
2-We.mp4,We
20-Capstone.mp4,Capstone
20-Finished.mp4,Finished
20-Project.mp4,Project
20-We.mp4,We
3-Capstone.mp4,Capstone
3-Finished.mp4,Finished
3-Project.mp4,Project
3-We.mp4,We
4-Capstone.mp4,Capstone
4-Finished.mp4,Finished
4-Project.mp4,Project
4-We.mp4,We
5-Capstone.mp4,Capstone
5-Finished.mp4,Finished
5-Project.mp4,Project
5-We.mp4,We
6-Capstone.mp4,Capstone
6-Finished.mp4,Finished
6-Project.mp4,Project
6-We.mp4,We
7-Capstone.mp4,Capstone
7-Finished.mp4,Finished
7-Project.mp4,Project
7-We.mp4,We
8-Capstone.mp4,Capstone
8-Finished.mp4,Finished
8-Project.mp4,Project
8-We.mp4,We
9-Capstone.mp4,Capstone
9-Finished.mp4,Finished
9-Project.mp4,Project
9-We.mp4,We
